136.243.155.93 bot - "2017-01-06 05:44:59" http://enginy.uib.es/index.php/enginy/article/view/31 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:45:09" http://enginy.uib.es/index.php/enginy/article/view/57 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:45:21" http://enginy.uib.es/index.php/enginy/article/view/146 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:45:31" http://enginy.uib.es/index.php/enginy/article/view/48 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:45:42" http://enginy.uib.es/index.php/enginy/article/view/58 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:45:52" http://enginy.uib.es/index.php/enginy/article/view/26 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:46:03" http://enginy.uib.es/index.php/enginy/article/view/15 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:46:13" http://enginy.uib.es/index.php/enginy/article/view/96 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:46:23" http://enginy.uib.es/index.php/enginy/article/view/82 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:46:34" http://enginy.uib.es/index.php/enginy/article/view/78 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:46:45" http://enginy.uib.es/index.php/enginy/article/view/59 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:46:56" http://enginy.uib.es/index.php/enginy/article/view/89 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:47:06" http://enginy.uib.es/index.php/enginy/article/view/37 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:47:16" http://enginy.uib.es/index.php/enginy/article/view/145 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:47:26" http://enginy.uib.es/index.php/enginy/article/view/47 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:47:37" http://enginy.uib.es/index.php/enginy/article/view/79 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:47:47" http://enginy.uib.es/index.php/enginy/article/view/34 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:47:57" http://enginy.uib.es/index.php/enginy/article/view/75 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:48:08" http://enginy.uib.es/index.php/enginy/article/view/74 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:48:18" http://enginy.uib.es/index.php/enginy/article/view/28 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:48:28" http://enginy.uib.es/index.php/enginy/article/view/54 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:48:39" http://enginy.uib.es/index.php/enginy/article/view/87 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:48:49" http://enginy.uib.es/index.php/enginy/article/view/19 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:48:59" http://enginy.uib.es/index.php/enginy/article/view/52 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:49:10" http://enginy.uib.es/index.php/enginy/article/view/83 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:49:20" http://enginy.uib.es/index.php/enginy/article/view/84 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:49:31" http://enginy.uib.es/index.php/enginy/article/view/43 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:49:41" http://enginy.uib.es/index.php/enginy/article/view/8 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:49:51" http://enginy.uib.es/index.php/enginy/article/view/60 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:50:01" http://enginy.uib.es/index.php/enginy/article/view/76 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:50:11" http://enginy.uib.es/index.php/enginy/article/view/148 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:50:21" http://enginy.uib.es/index.php/enginy/article/view/32 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:50:32" http://enginy.uib.es/index.php/enginy/article/view/25 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.155.93 bot - "2017-01-06 05:50:43" http://enginy.uib.es/index.php/enginy/article/view/23 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
