195.76.181.177 - - "2017-03-18 00:00:04" http://edicions.uib.cat/ojs/index.php/CIRUGIA/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:51.0) Gecko/20100101 Firefox/51.0"
136.243.103.153 bot - "2017-03-18 00:49:04" http://enginy.uib.es/index.php/enginy/article/view/151 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:49:16" http://enginy.uib.es/index.php/enginy/article/view/30 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:49:28" http://enginy.uib.es/index.php/enginy/article/download/30/14 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:49:31" http://enginy.uib.es/index.php/enginy/article/view/24 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:49:43" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:49:46" http://enginy.uib.es/index.php/enginy/article/view/61 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:49:58" http://enginy.uib.es/index.php/enginy/article/download/61/44 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:50:08" http://enginy.uib.es/index.php/enginy/article/view/20 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:50:20" http://enginy.uib.es/index.php/enginy/article/download/20/4 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:50:23" http://enginy.uib.es/index.php/enginy/article/view/16 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:50:34" http://enginy.uib.es/index.php/enginy/article/download/16/1 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:50:42" http://enginy.uib.es/index.php/enginy/article/view/71 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:50:54" http://enginy.uib.es/index.php/enginy/article/download/71/50 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
