66.249.64.219 bot - "2018-04-28 08:17:53" http://edicions.uib.cat/ojs/index.php/enginy/article/download/35/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.219 bot - "2018-04-28 08:25:15" http://edicions.uib.cat/ojs/index.php/enginy/article/download/74/53 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:27:48" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/158 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:29:27" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/134 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:31:25" http://edicions.uib.cat/ojs/index.php/enginy/article/download/73/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.219 bot - "2018-04-28 08:32:10" http://edicions.uib.cat/ojs/index.php/AMS/article/view/388 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.219 bot - "2018-04-28 08:34:04" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/368 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.221 bot - "2018-04-28 08:36:20" http://edicions.uib.cat/ojs/index.php/enginy/article/view/50 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:40:00" http://edicions.uib.cat/ojs/index.php/enginy/article/view/42 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.219 bot - "2018-04-28 08:44:15" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/154 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:44:26" http://edicions.uib.cat/ojs/index.php/enginy/article/download/34/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:45:10" http://edicions.uib.cat/ojs/index.php/enginy/article/download/84/63 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:45:40" http://edicions.uib.cat/ojs/index.php/AMS/article/view/388 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:46:01" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:46:58" http://edicions.uib.cat/ojs/index.php/enginy/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-04-28 08:47:17" http://edicions.uib.cat/ojs/index.php/enginy/article/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
