189.165.18.251 - - "2016-10-11 00:17:00" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/5.7.15533.1010 Safari/537.36"
66.249.76.28 bot - "2016-10-11 00:28:19" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
181.209.230.161 - - "2016-10-11 00:50:27" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
207.46.13.132 bot - "2016-10-11 01:14:50" http://enginy.uib.es/index.php/Materialidades/issue/view/40 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.69.189 bot - "2016-10-11 02:43:42" http://edicions.uib.cat/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.187 bot - "2016-10-11 02:43:44" http://edicions.uib.cat/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.189 bot - "2016-10-11 03:13:18" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/6 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.28 bot - "2016-10-11 03:25:49" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/334/351 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
195.238.108.87 - - "2016-10-11 04:00:36" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
157.55.39.152 bot - "2016-10-11 04:38:17" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
5.9.145.132 - - "2016-10-11 05:25:15" http://edicions.uib.cat/ojs/index.php/enginy/article/download/56/38 200 "Mozilla/5.0 (Windows; U; Windows NT 6.1; WOW64; en-US; rv:2.0.4) Gecko/20120718 AskTbAVR-IDW/3.12.5.17700 Firefox/14.0.1"
5.9.145.132 - - "2016-10-11 05:25:16" http://enginy.uib.es/index.php/enginy/article/view/56 200 "Mozilla/5.0 (compatible; Windows; U; Windows NT 6.2; WOW64; en-US; rv:12.0) Gecko/20120403211507 Firefox/12.0"
148.251.54.44 - - "2016-10-11 05:25:18" http://enginy.uib.es/index.php/enginy/article/download/56/38 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20130401 Firefox/21.0"
180.76.15.29 bot - "2016-10-11 05:37:20" http://enginy.uib.es/index.php/enginy/article/download/72/51 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.76.30 bot - "2016-10-11 05:55:01" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.250 bot - "2016-10-11 06:05:36" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.72 bot - "2016-10-11 06:13:43" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.76.15.33 bot - "2016-10-11 06:33:48" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.76.29 bot - "2016-10-11 06:53:08" http://edicions.uib.cat/ojs/index.php/enginy/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.28 bot - "2016-10-11 06:54:02" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/160 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.82 bot - "2016-10-11 06:54:31" http://enginy.uib.es/index.php/enginy/article/download/13/76 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.77 bot - "2016-10-11 06:54:33" http://enginy.uib.es/index.php/enginy/article/download/14/77 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.29 bot - "2016-10-11 06:54:37" http://edicions.uib.cat/ojs/index.php/enginy/article/view/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.77 bot - "2016-10-11 06:54:59" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.77 bot - "2016-10-11 06:57:13" http://enginy.uib.es/index.php/enginy/article/view/34 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
