190.155.148.86 - - "2018-06-14 08:51:07" http://edicions.uib.cat/ojs/index.php/enginy/article/download/74/53 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
66.249.64.221 bot - "2018-06-14 09:59:11" http://edicions.uib.cat/ojs/index.php/enginy/article/view/98 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.188 bot - "2018-06-14 10:42:40" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/368 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
141.8.142.139 bot - "2018-06-14 11:37:08" http://edicions.uib.cat/ojs/index.php/enginy/article/download/11/74 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
158.42.247.99 - - "2018-06-14 12:18:06" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36"
66.249.64.219 bot - "2018-06-14 12:46:29" http://edicions.uib.cat/ojs/index.php/AMS/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
88.8.43.87 - - "2018-06-14 12:49:01" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
178.208.12.14 - - "2018-06-14 12:51:33" http://edicions.uib.cat/ojs/index.php/AMS/issue/view/77 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24"
66.249.64.219 bot - "2018-06-14 13:16:30" http://edicions.uib.cat/ojs/index.php/enginy/article/view/35 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
123.126.113.90 - - "2018-06-14 13:33:42" http://edicions.uib.cat/ojs/index.php/AMS/article/view/380 200 "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
