180.76.15.20 bot - "2015-06-03 00:10:02" http://edicions.uib.cat/ojs/index.php/crtc/article/view/330 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
123.125.71.111 - - "2015-06-03 00:19:07" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
66.249.67.88 bot - "2015-06-03 00:20:40" http://enginy.uib.es/index.php/Materialidades/issue/view/Mats2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
220.181.108.102 - - "2015-06-03 00:23:43" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
66.249.67.101 bot - "2015-06-03 00:24:31" http://enginy.uib.es/index.php/enginy/article/download/143/120 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.15.150 bot - "2015-06-03 00:52:31" http://edicions.uib.cat/ojs/index.php/crtc/article/view/312 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
123.125.71.53 - - "2015-06-03 01:01:37" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
220.181.108.148 - - "2015-06-03 01:06:07" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
181.194.186.29 - - "2015-06-03 01:19:37" http://edicions.uib.cat/ojs/index.php/enginy/article/download/49/31 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
180.76.15.34 bot - "2015-06-03 01:41:45" http://edicions.uib.cat/ojs/index.php/crtc/article/view/299 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
187.191.28.147 - - "2015-06-03 01:48:47" http://enginy.uib.es/index.php/crtc/article/view/277 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
88.26.183.45 - - "2015-06-03 01:50:33" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Python-urllib/2.6"
88.26.183.45 - - "2015-06-03 01:50:47" http://enginy.uib.es/index.php/enginy/index 200 "Python-urllib/2.6"
88.26.183.45 - - "2015-06-03 01:51:57" http://enginy.uib.es/index.php/enginy/issue/view/11 200 "Python-urllib/2.6"
88.26.183.45 - - "2015-06-03 01:52:46" http://enginy.uib.es/index.php/enginy/index 200 "Python-urllib/2.6"
190.198.92.80 - - "2015-06-03 02:01:01" http://edicions.uib.cat/ojs/index.php/enginy/article/download/80/59 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
123.125.71.55 - - "2015-06-03 02:02:58" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
220.181.108.102 - - "2015-06-03 02:06:34" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
177.231.99.86 - - "2015-06-03 02:16:56" http://edicions.uib.cat/ojs/index.php/enginy/article/download/51/33 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
93.186.202.239 - - "2015-06-03 02:32:50" http://enginy.uib.es/index.php/enginy/article/view/19 200 "Mozilla/5.0 (Windows NT 6.2; Win64; x64;) Gecko/20100101 Firefox/20.0"
93.186.202.239 - - "2015-06-03 02:32:50" http://enginy.uib.es/index.php/enginy/article/view/52 200 "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20130331 Firefox/21.0"
148.251.75.46 - - "2015-06-03 02:32:50" http://enginy.uib.es/index.php/enginy/article/download/49/31 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 1084) AppleWebKit/536.29.13 (KHTML like Gecko) Version/6.0.4 Safari/536.29.13"
201.141.145.21 - - "2015-06-03 02:39:46" http://enginy.uib.es/index.php/Materialidades/article/view/123 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
201.141.145.21 - - "2015-06-03 02:41:00" http://enginy.uib.es/index.php/Materialidades/article/download/123/304 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
123.125.71.110 - - "2015-06-03 03:03:34" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
220.181.108.167 - - "2015-06-03 03:09:58" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
190.104.22.225 - - "2015-06-03 03:10:08" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
