88.99.27.172 - - "2017-06-16 03:59:06" http://enginy.uib.es/index.php/enginy/article/download/61/44 200 "Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20100101 Firefox/19.0"
66.249.64.89 bot - "2017-06-16 04:06:14" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.68 bot - "2017-06-16 04:25:26" http://enginy.uib.es/index.php/enginy/article/view/46 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.72 bot - "2017-06-16 04:35:29" http://enginy.uib.es/index.php/enginy/article/view/58 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.72 bot - "2017-06-16 04:44:54" http://enginy.uib.es/index.php/enginy/article/view/44 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.72 bot - "2017-06-16 04:46:36" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.72 bot - "2017-06-16 04:53:51" http://enginy.uib.es/index.php/enginy/article/view/45 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.72 bot - "2017-06-16 05:03:00" http://enginy.uib.es/index.php/enginy/article/view/43 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
186.144.161.120 - - "2017-06-16 05:06:01" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
189.216.106.59 - - "2017-06-16 05:08:39" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
189.216.106.59 - - "2017-06-16 05:08:44" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
66.249.64.70 bot - "2017-06-16 05:11:51" http://enginy.uib.es/index.php/enginy/article/view/64 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.70 bot - "2017-06-16 05:20:29" http://enginy.uib.es/index.php/enginy/article/view/42 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
189.238.223.225 - - "2017-06-16 06:19:42" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
68.180.229.109 bot - "2017-06-16 06:59:17" http://enginy.uib.es/index.php/enginy/article/view/77 200 "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.64.91 bot - "2017-06-16 07:21:56" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/158/306 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:22:06" http://edicions.uib.cat/ojs/index.php/enginy/article/view/43 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.91 bot - "2017-06-16 07:22:07" http://edicions.uib.cat/ojs/index.php/enginy/article/view/89 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.91 bot - "2017-06-16 07:22:13" http://edicions.uib.cat/ojs/index.php/enginy/article/download/50/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:22:39" http://edicions.uib.cat/ojs/index.php/enginy/article/download/101/117 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.91 bot - "2017-06-16 07:22:44" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:22:51" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:23:10" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:23:20" http://edicions.uib.cat/ojs/index.php/enginy/article/download/57/39 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:23:29" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:23:31" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:23:56" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.91 bot - "2017-06-16 07:24:01" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.93 bot - "2017-06-16 07:24:03" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:13" http://edicions.uib.cat/ojs/index.php/enginy/article/download/11/74 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:18" http://edicions.uib.cat/ojs/index.php/enginy/article/view/63 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:18" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:19" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:26" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:39" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:48" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:52" http://edicions.uib.cat/ojs/index.php/enginy/article/download/20/4 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.89 bot - "2017-06-16 07:24:58" http://edicions.uib.cat/ojs/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
