66.249.64.219 bot - "2018-01-21 08:32:01" http://edicions.uib.cat/ojs/index.php/Eduhisedu/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-01-21 08:32:36" http://edicions.uib.cat/ojs/index.php/Eduhisedu/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.219 bot - "2018-01-21 08:35:05" http://edicions.uib.cat/ojs/index.php/Eduhisedu/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.217 bot - "2018-01-21 09:05:01" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
62.82.210.177 - - "2018-01-21 09:30:50" http://edicions.uib.cat/ojs/index.php/surgery/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; SM-T800 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Safari/537.36"
62.82.210.177 - - "2018-01-21 09:32:31" http://edicions.uib.cat/ojs/index.php/surgery/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
66.249.64.217 bot - "2018-01-21 09:38:55" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
90.162.96.38 - - "2018-01-21 09:39:54" http://edicions.uib.cat/ojs/index.php/surgery/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_2 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B202 Safari/604.1"
90.162.96.38 - - "2018-01-21 09:40:19" http://edicions.uib.cat/ojs/index.php/surgery/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:57.0) Gecko/20100101 Firefox/57.0"
66.249.64.217 bot - "2018-01-21 09:58:36" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.20 bot - "2018-01-21 11:14:49" http://enginy.uib.es/index.php/enginy/article/view/22 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
186.67.11.2 - - "2018-01-21 11:29:33" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
186.67.11.2 - - "2018-01-21 11:29:58" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
186.67.11.2 - - "2018-01-21 11:30:07" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/123/304 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
186.67.11.2 - - "2018-01-21 11:30:12" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/123/304 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
186.67.11.2 - - "2018-01-21 11:30:31" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
66.249.64.18 bot - "2018-01-21 11:50:26" http://enginy.uib.es/index.php/enginy/article/view/144 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
85.86.230.59 - - "2018-01-21 12:54:18" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/158 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
84.242.68.244 - - "2018-01-21 12:54:46" http://edicions.uib.cat/ojs/index.php/enginy/article/view/44 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/16.0.897.0 Safari/535.6"
207.46.13.129 bot - "2018-01-21 13:08:22" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
68.180.228.238 bot - "2018-01-21 13:41:26" http://enginy.uib.es/index.php/enginy/article/view/57 200 "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
