66.249.79.18 bot - "2015-02-22 04:05:52" http://edicions.uib.cat/ojs/index.php/crtc/article/view/257 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
174.129.228.67 bot - "2015-02-22 04:09:05" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "ia_archiver"
66.249.64.173 bot - "2015-02-22 04:10:43" http://enginy.uib.es/index.php/enginy/article/view/11 200 "DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)"
66.249.79.18 bot - "2015-02-22 04:15:42" http://edicions.uib.cat/ojs/index.php/crtc/article/view/200 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
220.181.108.104 - - "2015-02-22 04:36:25" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
123.125.71.18 - - "2015-02-22 04:36:28" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
68.180.228.248 bot - "2015-02-22 04:39:41" http://enginy.uib.es/index.php/enginy/article/view/70 200 "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.64.173 bot - "2015-02-22 05:04:04" http://enginy.uib.es/index.php/Materialidades/article/view/159 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.26 bot - "2015-02-22 05:17:17" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/158/306 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.198 bot - "2015-02-22 05:23:02" http://enginy.uib.es/index.php/enginy/article/view/44 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
220.181.108.161 - - "2015-02-22 05:33:02" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
123.125.71.30 - - "2015-02-22 05:33:03" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
66.249.79.10 bot - "2015-02-22 05:43:56" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
